"","type","RT","errorStatus","condition","subn"
"2","go",772,0,"C","01"
"3","go",528,0,"C","01"
"4","go",455,0,"C","01"
"5","nogo",2000,0,"C","01"
"6","go",622,0,"C","01"
"7","go",479,0,"C","01"
"8","go",471,0,"C","01"
"9","go",417,0,"C","01"
"10","go",404,0,"C","01"
"11","go",446,0,"C","01"
"12","go",479,0,"C","01"
"13","nogo",2000,0,"C","01"
"14","go",493,0,"C","01"
"15","nogo",2000,0,"C","01"
"16","nogo",2000,0,"C","01"
"17","go",517,0,"C","01"
"18","go",481,0,"C","01"
"19","go",377,0,"C","01"
"20","go",437,0,"C","01"
"21","go",375,0,"C","01"
"22","go",348,0,"C","01"
"23","go",370,0,"C","01"
"24","go",335,0,"C","01"
"25","go",415,0,"C","01"
"26","nogo",2000,0,"C","01"
"27","nogo",2000,0,"C","01"
"28","go",728,0,"C","01"
"29","nogo",2000,0,"C","01"
"30","go",449,0,"C","01"
"31","go",641,0,"C","01"
"32","go",446,0,"C","01"
"33","go",454,0,"C","01"
"34","go",440,0,"C","01"
"35","go",378,0,"C","01"
"36","go",509,0,"C","01"
"37","go",428,0,"C","01"
"38","go",422,0,"C","01"
"39","go",372,0,"C","01"
"40","go",423,0,"C","01"
"41","go",451,0,"C","01"
"42","go",413,0,"C","01"
"43","go",367,0,"C","01"
"44","go",316,0,"C","01"
"45","go",361,0,"C","01"
"46","go",352,0,"C","01"
"47","go",310,0,"C","01"
"48","go",411,0,"C","01"
"49","go",424,0,"C","01"
"50","go",387,0,"C","01"
"51","go",431,0,"C","01"
"52","go",354,0,"C","01"
"53","nogo",2000,0,"C","01"
"54","nogo",2000,0,"C","01"
"55","go",524,0,"C","01"
"56","go",411,0,"C","01"
"57","go",350,0,"C","01"
"58","go",371,0,"C","01"
"59","go",353,0,"C","01"
"60","go",357,0,"C","01"
"61","go",325,0,"C","01"
"62","go",330,0,"C","01"
"63","go",344,0,"C","01"
"64","go",279,0,"C","01"
"65","go",383,0,"C","01"
"66","go",315,0,"C","01"
"67","go",338,0,"C","01"
"68","go",369,0,"C","01"
"69","go",310,0,"C","01"
"70","go",299,0,"C","01"
"71","go",301,0,"C","01"
"72","go",363,0,"C","01"
"73","go",367,0,"C","01"
"74","go",455,0,"C","01"
"75","go",400,0,"C","01"
"76","go",282,0,"C","01"
"77","go",340,0,"C","01"
"78","go",265,0,"C","01"
"79","nogo",2000,0,"C","01"
"80","go",416,0,"C","01"
"81","nogo",2000,0,"C","01"
"82","go",501,0,"C","01"
"83","go",338,0,"C","01"
"84","go",321,0,"C","01"
"85","go",319,0,"C","01"
"86","go",334,0,"C","01"
"87","go",291,0,"C","01"
"88","go",477,0,"C","01"
"89","go",307,0,"C","01"
"90","go",285,0,"C","01"
"91","go",285,0,"C","01"
"92","go",292,0,"C","01"
"93","nogo",280,1,"C","01"
"94","go",506,0,"C","01"
"95","go",436,0,"C","01"
"96","go",391,0,"C","01"
"97","nogo",2000,0,"C","01"
"98","go",333,0,"C","01"
"99","go",476,0,"C","01"
"100","go",388,0,"C","01"
"101","go",336,0,"C","01"
"102","go",366,0,"C","01"
"103","go",355,0,"C","01"
"104","go",512,0,"C","01"
"105","go",341,0,"C","01"
"106","go",373,0,"C","01"
"107","go",365,0,"C","01"
"108","go",447,0,"C","01"
"109","nogo",2000,0,"C","01"
"110","go",446,0,"C","01"
"111","nogo",2000,0,"C","01"
"112","go",500,0,"C","01"
"113","go",401,0,"C","01"
"114","go",564,0,"C","01"
"115","nogo",2000,0,"C","01"
"116","go",444,0,"C","01"
"117","go",453,0,"C","01"
"118","go",399,0,"C","01"
"119","go",362,0,"C","01"
"120","nogo",2000,0,"C","01"
"121","go",460,0,"C","01"
"122","nogo",2000,0,"C","01"
"123","go",504,0,"C","01"
"124","go",462,0,"C","01"
"125","go",560,0,"C","01"
"126","go",396,0,"C","01"
"127","go",339,0,"C","01"
"128","go",312,0,"C","01"
"129","go",300,0,"C","01"
"130","go",351,0,"C","01"
"131","go",308,0,"C","01"
"132","nogo",2000,0,"C","01"
"133","go",473,0,"C","01"
"134","go",415,0,"C","01"
"135","go",458,0,"C","01"
"136","go",412,0,"C","01"
"137","go",494,0,"C","01"
"138","go",974,0,"C","01"
"139","nogo",2000,0,"C","01"
"140","nogo",2000,0,"C","01"
"141","nogo",2000,0,"C","01"
"142","go",679,0,"C","01"
"143","go",350,0,"C","01"
"144","go",468,0,"C","01"
"145","go",508,0,"C","01"
"146","go",460,0,"C","01"
"147","go",346,0,"C","01"
"148","go",338,0,"C","01"
"149","go",393,0,"C","01"
"150","go",331,0,"C","01"
"151","go",379,0,"C","01"
"152","go",334,0,"C","01"
"153","go",357,0,"C","01"
"154","go",379,0,"C","01"
"155","go",381,0,"C","01"
"156","go",402,0,"C","01"
"157","go",352,0,"C","01"
"158","go",411,0,"C","01"
"159","nogo",2000,0,"C","01"
"160","go",493,0,"C","01"
"161","go",378,0,"C","01"
"162","go",406,0,"C","01"
"163","go",266,0,"C","01"
"164","go",323,0,"C","01"
"165","go",282,0,"C","01"
"166","nogo",275,1,"C","01"
"167","go",570,0,"C","01"
"168","go",424,0,"C","01"
"169","go",395,0,"C","01"
"170","nogo",2000,0,"C","01"
"171","go",699,0,"C","01"
"172","nogo",2000,0,"C","01"
"173","nogo",2000,0,"C","01"
"174","go",961,0,"C","01"
"175","nogo",2000,0,"C","01"
"176","go",433,0,"C","01"
"177","go",387,0,"C","01"
"178","go",325,0,"C","01"
"179","go",361,0,"C","01"
"180","go",928,0,"C","01"
"181","go",480,0,"C","01"
"182","go",393,0,"C","01"
"183","go",292,0,"C","01"
"184","go",300,0,"C","01"
"185","go",323,0,"C","01"
"186","go",379,0,"C","01"
"187","nogo",2000,0,"C","01"
"188","go",459,0,"C","01"
"189","go",403,0,"C","01"
"190","nogo",2000,0,"C","01"
"191","nogo",2000,0,"C","01"
"192","nogo",2000,0,"C","01"
"193","go",627,0,"C","01"
"194","nogo",2000,0,"C","01"
"195","go",402,0,"C","01"
"196","go",908,0,"C","01"
"197","nogo",2000,0,"C","01"
"198","go",478,0,"C","01"
"199","go",572,0,"C","01"
"200","nogo",2000,0,"C","01"
"201","nogo",2000,0,"C","01"
"202","go",474,0,"C","01"
"203","go",512,0,"C","01"
"204","go",422,0,"C","01"
"205","go",436,0,"C","01"
"206","nogo",2000,0,"C","01"
"207","go",985,0,"C","01"
"208","go",507,0,"C","01"
"209","go",868,0,"C","01"
"210","go",404,0,"C","01"
"211","go",447,0,"C","01"
"212","go",466,0,"C","01"
"213","go",346,0,"C","01"
"214","go",350,0,"C","01"
"215","go",349,0,"C","01"
"216","go",411,0,"C","01"
"217","nogo",2000,0,"C","01"
"218","go",497,0,"C","01"
"219","nogo",466,1,"C","01"
"220","go",657,0,"C","01"
"221","go",394,0,"C","01"
"222","go",478,0,"C","01"
"223","go",607,0,"C","01"
"224","nogo",2000,0,"C","01"
"225","nogo",2000,0,"C","01"
"226","go",500,0,"C","01"
"227","go",625,0,"C","01"
"228","go",524,0,"C","01"
"229","nogo",2000,0,"C","01"
"230","go",415,0,"C","01"
"231","go",655,0,"C","01"
"232","go",666,0,"C","01"
"233","go",417,0,"C","01"
"234","nogo",2000,0,"C","01"
"235","go",442,0,"C","01"
"236","go",393,0,"C","01"
"237","go",420,0,"C","01"
"238","nogo",2000,0,"C","01"
"239","go",475,0,"C","01"
"240","go",482,0,"C","01"
"241","nogo",379,1,"C","01"
"242","nogo",2000,0,"C","01"
"243","nogo",2000,0,"C","01"
"244","nogo",2000,0,"C","01"
"245","go",532,0,"C","01"
"246","go",512,0,"C","01"
"247","nogo",2000,0,"C","01"
"248","go",540,0,"C","01"
"249","nogo",2000,0,"C","01"
"250","go",638,0,"C","01"
"251","go",452,0,"C","01"
"252","nogo",2000,0,"C","02"
"253","go",549,0,"C","02"
"254","go",439,0,"C","02"
"255","go",379,0,"C","02"
"256","go",372,0,"C","02"
"257","nogo",2000,0,"C","02"
"258","go",373,0,"C","02"
"259","go",323,0,"C","02"
"260","go",344,0,"C","02"
"261","nogo",2000,0,"C","02"
"262","go",363,0,"C","02"
"263","go",319,0,"C","02"
"264","go",348,0,"C","02"
"265","go",393,0,"C","02"
"266","go",317,0,"C","02"
"267","go",326,0,"C","02"
"268","nogo",2000,0,"C","02"
"269","go",393,0,"C","02"
"270","nogo",2000,0,"C","02"
"271","go",368,0,"C","02"
"272","go",339,0,"C","02"
"273","go",311,0,"C","02"
"274","go",342,0,"C","02"
"275","go",339,0,"C","02"
"276","go",330,0,"C","02"
"277","go",315,0,"C","02"
"278","go",344,0,"C","02"
"279","go",304,0,"C","02"
"280","go",295,0,"C","02"
"281","go",302,0,"C","02"
"282","go",311,0,"C","02"
"283","go",332,0,"C","02"
"284","go",300,0,"C","02"
"285","go",323,0,"C","02"
"286","go",331,0,"C","02"
"287","go",319,0,"C","02"
"288","go",335,0,"C","02"
"289","go",325,0,"C","02"
"290","go",315,0,"C","02"
"291","go",315,0,"C","02"
"292","go",323,0,"C","02"
"293","go",313,0,"C","02"
"294","nogo",2000,0,"C","02"
"295","go",477,0,"C","02"
"296","go",344,0,"C","02"
"297","go",312,0,"C","02"
"298","go",311,0,"C","02"
"299","go",311,0,"C","02"
"300","go",317,0,"C","02"
"301","go",294,0,"C","02"
"302","nogo",2000,0,"C","02"
"303","go",380,0,"C","02"
"304","go",334,0,"C","02"
"305","go",307,0,"C","02"
"306","go",308,0,"C","02"
"307","go",299,0,"C","02"
"308","go",298,0,"C","02"
"309","go",327,0,"C","02"
"310","go",312,0,"C","02"
"311","go",293,0,"C","02"
"312","nogo",2000,0,"C","02"
"313","nogo",2000,0,"C","02"
"314","go",433,0,"C","02"
"315","go",321,0,"C","02"
"316","go",288,0,"C","02"
"317","go",312,0,"C","02"
"318","go",288,0,"C","02"
"319","go",279,0,"C","02"
"320","go",294,0,"C","02"
"321","go",304,0,"C","02"
"322","go",296,0,"C","02"
"323","go",310,0,"C","02"
"324","go",317,0,"C","02"
"325","go",310,0,"C","02"
"326","go",291,0,"C","02"
"327","go",284,0,"C","02"
"328","go",309,0,"C","02"
"329","nogo",2000,0,"C","02"
"330","go",385,0,"C","02"
"331","go",276,0,"C","02"
"332","go",298,0,"C","02"
"333","go",292,0,"C","02"
"334","go",286,0,"C","02"
"335","go",300,0,"C","02"
"336","go",291,0,"C","02"
"337","nogo",300,1,"C","02"
"338","go",842,0,"C","02"
"339","go",346,0,"C","02"
"340","go",290,0,"C","02"
"341","go",321,0,"C","02"
"342","go",305,0,"C","02"
"343","go",295,0,"C","02"
"344","go",310,0,"C","02"
"345","nogo",2000,0,"C","02"
"346","go",388,0,"C","02"
"347","nogo",2000,0,"C","02"
"348","go",395,0,"C","02"
"349","go",302,0,"C","02"
"350","go",309,0,"C","02"
"351","go",292,0,"C","02"
"352","nogo",2000,0,"C","02"
"353","go",297,0,"C","02"
"354","go",277,0,"C","02"
"355","go",286,0,"C","02"
"356","go",272,0,"C","02"
"357","go",288,0,"C","02"
"358","go",287,0,"C","02"
"359","go",272,0,"C","02"
"360","go",273,0,"C","02"
"361","go",311,0,"C","02"
"362","go",311,0,"C","02"
"363","go",326,0,"C","02"
"364","go",317,0,"C","02"
"365","go",326,0,"C","02"
"366","go",324,0,"C","02"
"367","go",339,0,"C","02"
"368","go",313,0,"C","02"
"369","go",303,0,"C","02"
"370","go",288,0,"C","02"
"371","nogo",2000,0,"C","02"
"372","go",421,0,"C","02"
"373","go",333,0,"C","02"
"374","go",308,0,"C","02"
"375","nogo",2000,0,"C","02"
"376","go",383,0,"C","02"
"377","go",273,0,"C","02"
"378","nogo",2000,0,"C","02"
"379","go",326,0,"C","02"
"380","go",309,0,"C","02"
"381","go",291,0,"C","02"
"382","go",308,0,"C","02"
"383","nogo",2000,0,"C","02"
"384","go",305,0,"C","02"
"385","go",308,0,"C","02"
"386","go",307,0,"C","02"
"387","go",308,0,"C","02"
"388","go",348,0,"C","02"
"389","nogo",2000,0,"C","02"
"390","nogo",2000,0,"C","02"
"391","go",409,0,"C","02"
"392","nogo",2000,0,"C","02"
"393","go",405,0,"C","02"
"394","go",320,0,"C","02"
"395","go",321,0,"C","02"
"396","go",310,0,"C","02"
"397","nogo",2000,0,"C","02"
"398","go",346,0,"C","02"
"399","go",287,0,"C","02"
"400","go",279,0,"C","02"
"401","go",278,0,"C","02"
"402","go",344,0,"C","02"
"403","go",309,0,"C","02"
"404","go",315,0,"C","02"
"405","nogo",299,1,"C","02"
"406","go",428,0,"C","02"
"407","nogo",2000,0,"C","02"
"408","go",322,0,"C","02"
"409","go",383,0,"C","02"
"410","go",308,0,"C","02"
"411","go",340,0,"C","02"
"412","go",338,0,"C","02"
"413","go",358,0,"C","02"
"414","go",325,0,"C","02"
"415","go",340,0,"C","02"
"416","go",322,0,"C","02"
"417","go",343,0,"C","02"
"418","nogo",2000,0,"C","02"
"419","nogo",2000,0,"C","02"
"420","go",304,0,"C","02"
"421","go",371,0,"C","02"
"422","go",369,0,"C","02"
"423","go",341,0,"C","02"
"424","nogo",2000,0,"C","02"
"425","go",424,0,"C","02"
"426","go",280,0,"C","02"
"427","nogo",2000,0,"C","02"
"428","nogo",2000,0,"C","02"
"429","go",457,0,"C","02"
"430","go",369,0,"C","02"
"431","go",293,0,"C","02"
"432","go",350,0,"C","02"
"433","go",370,0,"C","02"
"434","go",354,0,"C","02"
"435","go",308,0,"C","02"
"436","go",293,0,"C","02"
"437","nogo",2000,0,"C","02"
"438","go",345,0,"C","02"
"439","nogo",2000,0,"C","02"
"440","nogo",2000,0,"C","02"
"441","go",403,0,"C","02"
"442","go",341,0,"C","02"
"443","go",300,0,"C","02"
"444","nogo",2000,0,"C","02"
"445","go",360,0,"C","02"
"446","go",314,0,"C","02"
"447","go",314,0,"C","02"
"448","go",321,0,"C","02"
"449","go",345,0,"C","02"
"450","go",310,0,"C","02"
"451","go",324,0,"C","02"
"452","nogo",2000,0,"C","02"
"453","nogo",2000,0,"C","02"
"454","go",387,0,"C","02"
"455","go",295,0,"C","02"
"456","go",286,0,"C","02"
"457","go",303,0,"C","02"
"458","nogo",2000,0,"C","02"
"459","nogo",2000,0,"C","02"
"460","go",341,0,"C","02"
"461","nogo",2000,0,"C","02"
"462","go",366,0,"C","02"
"463","go",320,0,"C","02"
"464","nogo",2000,0,"C","02"
"465","go",444,0,"C","02"
"466","nogo",2000,0,"C","02"
"467","go",384,0,"C","02"
"468","nogo",2000,0,"C","02"
"469","nogo",2000,0,"C","02"
"470","go",500,0,"C","02"
"471","go",337,0,"C","02"
"472","go",311,0,"C","02"
"473","go",341,0,"C","02"
"474","go",324,0,"C","02"
"475","nogo",2000,0,"C","02"
"476","go",378,0,"C","02"
"477","nogo",2000,0,"C","02"
"478","go",393,0,"C","02"
"479","go",320,0,"C","02"
"480","go",320,0,"C","02"
"481","go",333,0,"C","02"
"482","go",325,0,"C","02"
"483","go",324,0,"C","02"
"484","go",322,0,"C","02"
"485","go",360,0,"C","02"
"486","go",334,0,"C","02"
"487","go",332,0,"C","02"
"488","go",353,0,"C","02"
"489","nogo",2000,0,"C","02"
"490","go",404,0,"C","02"
"491","nogo",2000,0,"C","02"
"492","go",356,0,"C","02"
"493","nogo",2000,0,"C","02"
"494","go",403,0,"C","02"
"495","nogo",2000,0,"C","02"
"496","go",371,0,"C","02"
"497","nogo",2000,0,"C","02"
"498","go",386,0,"C","02"
"499","nogo",2000,0,"C","02"
"500","go",434,0,"C","02"
"501","go",362,0,"C","02"
"502","go",834,0,"C","03"
"503","go",624,0,"C","03"
"504","nogo",2000,0,"C","03"
"505","go",410,0,"C","03"
"506","nogo",2000,0,"C","03"
"507","go",406,0,"C","03"
"508","go",529,0,"C","03"
"509","nogo",2000,0,"C","03"
"510","go",436,0,"C","03"
"511","go",475,0,"C","03"
"512","go",458,0,"C","03"
"513","go",341,0,"C","03"
"514","nogo",2000,0,"C","03"
"515","go",385,0,"C","03"
"516","go",444,0,"C","03"
"517","go",357,0,"C","03"
"518","go",345,0,"C","03"
"519","go",354,0,"C","03"
"520","go",311,0,"C","03"
"521","go",333,0,"C","03"
"522","go",292,0,"C","03"
"523","go",316,0,"C","03"
"524","go",300,0,"C","03"
"525","go",323,0,"C","03"
"526","go",330,0,"C","03"
"527","nogo",2000,0,"C","03"
"528","go",445,0,"C","03"
"529","go",486,0,"C","03"
"530","go",380,0,"C","03"
"531","go",338,0,"C","03"
"532","go",479,0,"C","03"
"533","go",350,0,"C","03"
"534","go",333,0,"C","03"
"535","go",379,0,"C","03"
"536","go",342,0,"C","03"
"537","go",292,0,"C","03"
"538","go",358,0,"C","03"
"539","go",412,0,"C","03"
"540","go",315,0,"C","03"
"541","go",390,0,"C","03"
"542","go",418,0,"C","03"
"543","go",335,0,"C","03"
"544","go",362,0,"C","03"
"545","go",431,0,"C","03"
"546","go",338,0,"C","03"
"547","go",351,0,"C","03"
"548","go",326,0,"C","03"
"549","go",419,0,"C","03"
"550","go",318,0,"C","03"
"551","nogo",2000,0,"C","03"
"552","go",403,0,"C","03"
"553","go",323,0,"C","03"
"554","go",372,0,"C","03"
"555","nogo",352,1,"C","03"
"556","go",660,0,"C","03"
"557","go",839,0,"C","03"
"558","go",427,0,"C","03"
"559","go",467,0,"C","03"
"560","go",557,0,"C","03"
"561","go",371,0,"C","03"
"562","go",424,0,"C","03"
"563","go",355,0,"C","03"
"564","go",343,0,"C","03"
"565","go",300,0,"C","03"
"566","go",373,0,"C","03"
"567","go",305,0,"C","03"
"568","go",410,0,"C","03"
"569","go",323,0,"C","03"
"570","go",381,0,"C","03"
"571","go",375,0,"C","03"
"572","go",355,0,"C","03"
"573","go",298,0,"C","03"
"574","go",464,0,"C","03"
"575","go",349,0,"C","03"
"576","go",328,0,"C","03"
"577","nogo",278,1,"C","03"
"578","go",1326,0,"C","03"
"579","go",743,0,"C","03"
"580","nogo",2000,0,"C","03"
"581","go",524,0,"C","03"
"582","go",383,0,"C","03"
"583","go",397,0,"C","03"
"584","go",455,0,"C","03"
"585","go",354,0,"C","03"
"586","go",373,0,"C","03"
"587","go",356,0,"C","03"
"588","go",362,0,"C","03"
"589","go",309,0,"C","03"
"590","nogo",291,1,"C","03"
"591","go",740,0,"C","03"
"592","go",843,0,"C","03"
"593","go",619,0,"C","03"
"594","nogo",2000,0,"C","03"
"595","go",581,0,"C","03"
"596","go",496,0,"C","03"
"597","go",463,0,"C","03"
"598","go",504,0,"C","03"
"599","go",417,0,"C","03"
"600","go",412,0,"C","03"
"601","go",448,0,"C","03"
"602","go",473,0,"C","03"
"603","go",459,0,"C","03"
"604","go",443,0,"C","03"
"605","go",484,0,"C","03"
"606","go",501,0,"C","03"
"607","go",492,0,"C","03"
"608","go",428,0,"C","03"
"609","go",495,0,"C","03"
"610","go",545,0,"C","03"
"611","go",581,0,"C","03"
"612","go",416,0,"C","03"
"613","go",491,0,"C","03"
"614","go",403,0,"C","03"
"615","go",416,0,"C","03"
"616","go",466,0,"C","03"
"617","go",469,0,"C","03"
"618","go",389,0,"C","03"
"619","go",416,0,"C","03"
"620","go",530,0,"C","03"
"621","go",416,0,"C","03"
"622","nogo",2000,0,"C","03"
"623","go",473,0,"C","03"
"624","go",351,0,"C","03"
"625","go",340,0,"C","03"
"626","go",444,0,"C","03"
"627","go",388,0,"C","03"
"628","go",369,0,"C","03"
"629","go",445,0,"C","03"
"630","go",455,0,"C","03"
"631","go",516,0,"C","03"
"632","go",345,0,"C","03"
"633","go",389,0,"C","03"
"634","go",531,0,"C","03"
"635","go",337,0,"C","03"
"636","go",448,0,"C","03"
"637","go",352,0,"C","03"
"638","nogo",2000,0,"C","03"
"639","go",452,0,"C","03"
"640","nogo",2000,0,"C","03"
"641","go",472,0,"C","03"
"642","go",551,0,"C","03"
"643","go",484,0,"C","03"
"644","nogo",2000,0,"C","03"
"645","go",593,0,"C","03"
"646","go",659,0,"C","03"
"647","go",578,0,"C","03"
"648","go",617,0,"C","03"
"649","go",412,0,"C","03"
"650","go",679,0,"C","03"
"651","go",312,0,"C","03"
"652","go",614,0,"C","03"
"653","go",411,0,"C","03"
"654","go",549,0,"C","03"
"655","go",532,0,"C","03"
"656","go",387,0,"C","03"
"657","go",382,0,"C","03"
"658","go",418,0,"C","03"
"659","go",509,0,"C","03"
"660","nogo",2000,0,"C","03"
"661","go",425,0,"C","03"
"662","nogo",2000,0,"C","03"
"663","go",414,0,"C","03"
"664","go",522,0,"C","03"
"665","go",470,0,"C","03"
"666","go",471,0,"C","03"
"667","go",376,0,"C","03"
"668","go",452,0,"C","03"
"669","nogo",2000,0,"C","03"
"670","nogo",2000,0,"C","03"
"671","nogo",2000,0,"C","03"
"672","go",713,0,"C","03"
"673","go",456,0,"C","03"
"674","go",447,0,"C","03"
"675","go",329,0,"C","03"
"676","go",472,0,"C","03"
"677","nogo",393,1,"C","03"
"678","go",581,0,"C","03"
"679","go",521,0,"C","03"
"680","go",369,0,"C","03"
"681","nogo",2000,0,"C","03"
"682","go",529,0,"C","03"
"683","go",445,0,"C","03"
"684","go",607,0,"C","03"
"685","nogo",2000,0,"C","03"
"686","go",366,0,"C","03"
"687","go",452,0,"C","03"
"688","go",445,0,"C","03"
"689","nogo",2000,0,"C","03"
"690","go",395,0,"C","03"
"691","go",421,0,"C","03"
"692","nogo",2000,0,"C","03"
"693","go",301,0,"C","03"
"694","go",349,0,"C","03"
"695","go",391,0,"C","03"
"696","go",386,0,"C","03"
"697","nogo",2000,0,"C","03"
"698","go",431,0,"C","03"
"699","go",327,0,"C","03"
"700","nogo",2000,0,"C","03"
"701","go",330,0,"C","03"
"702","go",367,0,"C","03"
"703","nogo",324,1,"C","03"
"704","go",536,0,"C","03"
"705","go",618,0,"C","03"
"706","nogo",2000,0,"C","03"
"707","nogo",2000,0,"C","03"
"708","nogo",2000,0,"C","03"
"709","nogo",2000,0,"C","03"
"710","go",602,0,"C","03"
"711","nogo",2000,0,"C","03"
"712","nogo",2000,0,"C","03"
"713","go",429,0,"C","03"
"714","go",389,0,"C","03"
"715","go",354,0,"C","03"
"716","nogo",334,1,"C","03"
"717","go",604,0,"C","03"
"718","nogo",2000,0,"C","03"
"719","go",723,0,"C","03"
"720","go",681,0,"C","03"
"721","nogo",2000,0,"C","03"
"722","go",461,0,"C","03"
"723","go",398,0,"C","03"
"724","nogo",2000,0,"C","03"
"725","nogo",2000,0,"C","03"
"726","go",513,0,"C","03"
"727","nogo",2000,0,"C","03"
"728","go",354,0,"C","03"
"729","go",381,0,"C","03"
"730","go",452,0,"C","03"
"731","nogo",2000,0,"C","03"
"732","go",361,0,"C","03"
"733","go",380,0,"C","03"
"734","go",528,0,"C","03"
"735","nogo",2000,0,"C","03"
"736","go",396,0,"C","03"
"737","nogo",2000,0,"C","03"
"738","go",363,0,"C","03"
"739","nogo",2000,0,"C","03"
"740","go",410,0,"C","03"
"741","go",611,0,"C","03"
"742","go",584,0,"C","03"
"743","go",702,0,"C","03"
"744","nogo",2000,0,"C","03"
"745","go",470,0,"C","03"
"746","nogo",2000,0,"C","03"
"747","nogo",371,1,"C","03"
"748","go",1525,0,"C","03"
"749","nogo",2000,0,"C","03"
"750","nogo",2000,0,"C","03"
"751","nogo",2000,0,"C","03"
"752","go",634,0,"C","04"
"753","go",359,0,"C","04"
"754","go",301,0,"C","04"
"755","go",287,0,"C","04"
"756","go",284,0,"C","04"
"757","go",326,0,"C","04"
"758","go",315,0,"C","04"
"759","go",283,0,"C","04"
"760","nogo",2000,0,"C","04"
"761","go",360,0,"C","04"
"762","nogo",2000,0,"C","04"
"763","go",360,0,"C","04"
"764","go",315,0,"C","04"
"765","go",289,0,"C","04"
"766","go",275,0,"C","04"
"767","go",259,0,"C","04"
"768","go",244,0,"C","04"
"769","go",269,0,"C","04"
"770","go",279,0,"C","04"
"771","go",278,0,"C","04"
"772","go",263,0,"C","04"
"773","go",272,0,"C","04"
"774","go",227,0,"C","04"
"775","go",266,0,"C","04"
"776","go",285,0,"C","04"
"777","go",246,0,"C","04"
"778","go",247,0,"C","04"
"779","go",256,0,"C","04"
"780","nogo",2000,0,"C","04"
"781","go",343,0,"C","04"
"782","nogo",284,1,"C","04"
"783","go",450,0,"C","04"
"784","go",285,0,"C","04"
"785","nogo",286,1,"C","04"
"786","go",404,0,"C","04"
"787","nogo",2000,0,"C","04"
"788","go",365,0,"C","04"
"789","go",352,0,"C","04"
"790","go",334,0,"C","04"
"791","go",508,0,"C","04"
"792","go",325,0,"C","04"
"793","go",313,0,"C","04"
"794","go",319,0,"C","04"
"795","go",312,0,"C","04"
"796","go",351,0,"C","04"
"797","go",333,0,"C","04"
"798","go",353,0,"C","04"
"799","nogo",2000,0,"C","04"
"800","go",453,0,"C","04"
"801","go",346,0,"C","04"
"802","go",313,0,"C","04"
"803","go",337,0,"C","04"
"804","go",295,0,"C","04"
"805","go",350,0,"C","04"
"806","go",269,0,"C","04"
"807","go",309,0,"C","04"
"808","go",324,0,"C","04"
"809","go",293,0,"C","04"
"810","go",301,0,"C","04"
"811","go",244,0,"C","04"
"812","go",307,0,"C","04"
"813","go",307,0,"C","04"
"814","go",292,0,"C","04"
"815","go",299,0,"C","04"
"816","go",299,0,"C","04"
"817","go",275,0,"C","04"
"818","go",276,0,"C","04"
"819","go",291,0,"C","04"
"820","nogo",2000,0,"C","04"
"821","go",337,0,"C","04"
"822","go",269,0,"C","04"
"823","go",255,0,"C","04"
"824","go",257,0,"C","04"
"825","go",282,0,"C","04"
"826","go",274,0,"C","04"
"827","go",275,0,"C","04"
"828","go",284,0,"C","04"
"829","go",258,0,"C","04"
"830","nogo",2000,0,"C","04"
"831","nogo",2000,0,"C","04"
"832","go",451,0,"C","04"
"833","go",275,0,"C","04"
"834","go",275,0,"C","04"
"835","go",276,0,"C","04"
"836","go",269,0,"C","04"
"837","go",296,0,"C","04"
"838","go",254,0,"C","04"
"839","go",232,0,"C","04"
"840","go",275,0,"C","04"
"841","go",260,0,"C","04"
"842","go",252,0,"C","04"
"843","go",238,0,"C","04"
"844","go",265,0,"C","04"
"845","go",263,0,"C","04"
"846","go",258,0,"C","04"
"847","go",259,0,"C","04"
"848","go",259,0,"C","04"
"849","go",383,0,"C","04"
"850","go",299,0,"C","04"
"851","go",282,0,"C","04"
"852","go",362,0,"C","04"
"853","go",423,0,"C","04"
"854","go",426,0,"C","04"
"855","nogo",2000,0,"C","04"
"856","go",345,0,"C","04"
"857","go",293,0,"C","04"
"858","go",267,0,"C","04"
"859","go",231,0,"C","04"
"860","go",385,0,"C","04"
"861","nogo",246,1,"C","04"
"862","go",421,0,"C","04"
"863","go",251,0,"C","04"
"864","nogo",2000,0,"C","04"
"865","go",328,0,"C","04"
"866","nogo",2000,0,"C","04"
"867","nogo",2000,0,"C","04"
"868","go",357,0,"C","04"
"869","go",289,0,"C","04"
"870","go",283,0,"C","04"
"871","go",243,0,"C","04"
"872","go",292,0,"C","04"
"873","go",294,0,"C","04"
"874","go",355,0,"C","04"
"875","nogo",2000,0,"C","04"
"876","go",438,0,"C","04"
"877","go",349,0,"C","04"
"878","nogo",2000,0,"C","04"
"879","go",377,0,"C","04"
"880","go",283,0,"C","04"
"881","go",244,0,"C","04"
"882","nogo",2000,0,"C","04"
"883","go",303,0,"C","04"
"884","go",231,0,"C","04"
"885","go",299,0,"C","04"
"886","go",322,0,"C","04"
"887","nogo",257,1,"C","04"
"888","go",386,0,"C","04"
"889","nogo",2000,0,"C","04"
"890","go",403,0,"C","04"
"891","go",293,0,"C","04"
"892","go",260,0,"C","04"
"893","go",254,0,"C","04"
"894","nogo",2000,0,"C","04"
"895","go",325,0,"C","04"
"896","go",274,0,"C","04"
"897","go",243,0,"C","04"
"898","go",260,0,"C","04"
"899","go",293,0,"C","04"
